player_id,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
45,6,540,3,0,0,0,4.2,64.7,2.3,0,7.21
46,10,900,1,0,2,0,0.2,85.0,3.9,0,7.19
47,8,720,0,0,0,0,0.6,85.1,2.5,0,7.19
48,6,540,1,0,0,0,0.2,91.7,0.2,0,7.18
49,5,475,1,0,0,0,1.8,86.9,0.8,0,7.16
50,5,525,2,3,3,0,1.6,74.1,2.4,1,7.15
51,6,509,0,0,1,0,1,76.8,1.3,0,7.11
52,6,545,2,2,0,0,0.7,89.3,2,1,7.08
53,7,614,0,1,1,0,0.4,81.8,1.9,0,7.06
54,6,540,1,1,2,0,0.4,83.7,0.7,0,7.05
55,8,721,6,0,1,0,2.1,78.7,0.8,2,7.05
56,4,360,0,0,2,0,1.5,82.4,4.3,0,7.04
57,8,720,0,0,0,0,0,67.7,0.4,0,7.04
58,4,350,0,0,0,0,1.3,80.0,3,0,7.03
59,8,583,4,1,0,0,2.1,83.0,1.2,0,7.02
60,6,485,0,0,1,0,0.3,86.6,0.1,1,7.01
61,9,761,3,2,2,0,1.7,74.7,0.6,0,7.01
62,6,488,0,1,1,0,1.7,84.4,0.3,0,7.01
63,9,838,1,2,0,0,0.8,93.5,0.3,1,7.01
64,13,1262,1,0,3,0,0.4,83.0,3.1,0,7.0
65,6,530,0,1,1,1,0.8,73.2,3.2,1,7.0
66,4,404,0,0,0,0,2,72.2,0.7,1,6.97
67,7,613,1,0,2,0,0.9,87.3,1.6,0,6.97
68,4,360,0,0,0,0,0.5,89.1,2.5,0,6.94
69,10,900,0,0,0,0,0,74.0,0.1,1,6.94
70,4,331,2,0,1,0,2.8,73.8,1.3,0,6.93
71,5,450,0,0,0,0,0.4,79.1,2.8,0,6.92
72,6,540,0,0,0,0,0,62.9,0,0,6.9
73,3,326,0,2,0,0,0.8,78.9,0.2,1,6.89
74,6,540,0,0,1,0,0,58.2,0.2,0,6.86
75,13,1200,0,2,5,0,0.5,82.6,3.1,0,6.86
76,6,490,1,0,0,0,2.5,65.3,0.3,0,6.84
77,3,335,0,1,0,0,1.3,87.3,0.2,0,6.83
78,10,900,0,0,0,0,0,65.5,0.1,0,6.81
79,8,720,0,0,1,0,0.6,74.9,1.8,0,6.75
80,5,386,2,1,2,0,0.8,80.7,0.6,0,6.75
81,8,720,0,0,0,0,0,44.4,0.9,0,6.75
82,3,303,0,2,1,0,1.5,80.0,1,0,6.72
83,3,357,2,1,0,0,1.7,78.3,1.2,1,6.71
84,5,495,1,0,1,0,0.5,83.1,0.8,0,6.7
85,6,500,0,0,1,0,0.7,84.8,1.6,0,6.65
86,6,570,0,0,0,0,0,72.1,0,0,6.65
87,2,216,0,0,0,0,0,80.8,0.5,0,6.65
88,0,25,2,0,0,0,1.3,66.7,0.8,0,6.62
